name,age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills
ZywOo,21,41.20%,1.37,0.84,71,8261,8552,1290,4262
s1mple,24,41.30%,1.34,0.86,64,14717,13451,901,6057
sh1ro,21,27.80%,1.45,0.77,30,3791,10580,550,3008
deko,21,36.70%,1.37,0.8,8,2664,4348,181,1459
saffee,27,30.90%,1.3,0.79,14,2545,4412,264,1209
Kaze,28,30.30%,1.32,0.78,26,4893,9053,577,2834
degster,21,34.70%,1.31,0.78,21,4118,7544,253,2266
smooya,22,27.80%,1.26,0.79,21,4786,9692,584,3283
sterling,24,31.60%,1.3,0.77,22,5037,8539,437,2848
XANTARES,26,53.30%,1.2,0.81,61,30174,355,857,6127
SENSEi,23,31.30%,1.34,0.75,14,2118,5533,202,1440
torzsi,20,29.10%,1.25,0.78,16,2352,5696,183,1606
device,26,35.00%,1.25,0.78,48,14483,12758,1566,6978
DANK1NG,22,39.70%,1.24,0.79,10,3124,3177,318,1435
NiKo,25,50.40%,1.19,0.8,68,23581,3296,1138,6308
blameF,25,39.20%,1.26,0.76,23,14032,164,827,2661
BnTeT,26,39.80%,1.23,0.76,39,15155,728,1169,3259
coldzera,27,49.40%,1.25,0.77,31,17732,3229,2161,5249
Sico,27,35.40%,1.28,0.75,18,5220,7131,982,3423
XigN,25,52.40%,1.2,0.78,26,10598,371,1087,2569
KSCERATO,22,49.40%,1.27,0.74,28,12854,551,1355,2739
Benkai,25,46.70%,1.2,0.78,15,8704,427,826,1973
Texta,21,40.30%,1.16,0.8,14,9814,148,264,2192
Jame,23,25.20%,1.31,0.72,19,3061,14965,1081,3198
XELLOW,21,40.40%,1.18,0.78,31,8583,9211,507,3998
mhL,20,28.50%,1.21,0.77,5,2444,5801,181,1687
oskar,31,30.50%,1.2,0.76,33,5625,16854,1023,5191
El1an,23,27.10%,1.22,0.75,25,5031,16248,396,4164
kennyS,27,31.20%,1.21,0.76,47,8533,19544,843,7423
Freeman,23,49.10%,1.18,0.76,24,10686,690,766,2735
mantuu,24,35.70%,1.21,0.75,23,5626,5438,448,2252
huNter-,26,49.40%,1.16,0.77,33,21272,344,3190,4826
frozen,20,54.60%,1.17,0.76,36,17384,1178,849,4379
vsm,23,47.00%,1.16,0.77,9,7544,1047,404,1800
chelleos,22,32.00%,1.15,0.78,16,3548,5692,260,1601
erkaSt,27,50.10%,1.17,0.77,16,12309,384,1608,2838
yuurih,22,44.30%,1.19,0.76,22,15471,453,744,3219
woxic,23,32.10%,1.2,0.74,36,6232,12438,462,3472
liTTle,33,27.70%,1.2,0.77,9,1248,5656,105,2206
INS,23,42.50%,1.17,0.76,27,12322,825,1492,3018
kNgV-,29,32.70%,1.17,0.77,23,5082,7983,732,2586
ropz,22,51.60%,1.2,0.74,28,16807,1080,738,3679
Jamppi,21,31.80%,1.16,0.77,8,2872,5073,421,1835
wrath,20,50.10%,1.13,0.78,23,8173,205,404,1766
dream3r,25,49.70%,1.2,0.74,27,19438,349,272,4561
PTC,23,36.10%,1.18,0.75,11,3249,3987,349,1649
xsepower,24,24.90%,1.23,0.72,18,2339,17549,825,3919
zorte,24,36.50%,1.2,0.73,22,4279,7548,239,2509
Twistzz,22,62.30%,1.18,0.73,50,19443,782,1240,5120
splashske,23,38.40%,1.15,0.76,19,4741,6178,525,2539
dgt,21,49.50%,1.2,0.74,7,6750,50,201,1217
GuardiaN,31,29.60%,1.18,0.74,37,6940,17441,706,5096
oSee,23,31.70%,1.19,0.74,18,7051,10272,391,3442
ottoNd,24,26.90%,1.19,0.74,19,3782,9345,556,2879
FREDDyFROG,29,40.30%,1.18,0.74,31,16327,1351,1505,4241
NEOFRAG,21,49.00%,1.13,0.76,43,10748,406,289,2068
Brehze,24,52.40%,1.14,0.76,32,17813,348,647,4110
TenZ,21,51.30%,1.12,0.76,15,5215,814,237,1583
Infinite,24,50.80%,1.14,0.75,32,11610,464,1064,2730
CeRq,22,27.90%,1.18,0.73,21,5642,12614,716,3714
f0rest,34,51.90%,1.16,0.75,43,27542,4275,1344,7336
Olivia,24,37.00%,1.15,0.76,19,6032,3508,575,2052
nawwk,24,35.40%,1.19,0.74,14,5716,8044,613,2996
poizon,23,33.60%,1.15,0.74,33,6183,11134,375,3612
dumau,18,41.60%,1.18,0.74,9,6343,1035,267,1487
mertz,23,32.50%,1.16,0.75,18,3881,10977,630,3478
h4rn,22,28.60%,1.2,0.72,13,2778,6103,221,1683
WARDELL,24,27.20%,1.17,0.73,14,1523,7327,605,2109
mir,26,52.10%,1.15,0.76,19,15573,433,876,3028
swag,25,49.50%,1.18,0.73,8,6649,1365,460,1847
HEN1,27,28.80%,1.21,0.71,20,5239,10163,896,3609
ekul,27,36.60%,1.12,0.76,15,3116,3874,187,1615
Ax1Le,20,48.60%,1.16,0.73,24,13952,687,766,2819
nython,24,37.60%,1.16,0.75,8,4112,4257,327,1734
aliStair,24,35.10%,1.17,0.73,25,7121,7659,1103,3380
moose,24,44.10%,1.16,0.74,16,10480,939,753,2236
xccurate,24,31.20%,1.15,0.74,17,3313,6969,605,2367
mixwell,26,38.10%,1.13,0.75,25,6823,5352,807,2952
allu,30,28.60%,1.16,0.74,31,8713,15102,1531,5345
electroNic,23,50.30%,1.14,0.75,38,19820,199,1387,4222
Spinx,21,56.20%,1.14,0.74,19,6595,245,252,1465
