age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,Scaling.Mode
25,0.381,1.11,0.7,19,6682,8611,683,3218,1
32,0.488,0.99,0.68,26,22645,731,1822,5434,1
29,0.416,1.07,0.72,19,14074,39,1083,2570,2
23,0.348,1.1,0.69,15,4043,4871,190,1701,3
26,0.504,1.04,0.7,38,20670,1274,1439,5003,1
25,0.391,0.98,0.64,12,11946,660,1692,2714,1
26,0.457,1.07,0.7,25,17048,1257,1328,4226,1
24,0.351,1.17,0.73,25,7121,7659,1103,3380,1
30,0.286,1.16,0.74,31,8713,15102,1531,5345,1
23,0.519,1.02,0.67,24,16381,1575,1128,4185,1
22,0.308,1.11,0.72,14,2631,8746,408,2127,1
29,0.517,1.02,0.71,44,28265,537,1750,6200,1
26,0.348,1,0.71,23,8744,5652,1303,2440,1
25,0.464,1.12,0.75,26,18784,233,1135,3842,1
28,0.417,1.08,0.71,18,10678,591,1946,2381,1
25,0.443,1.11,0.74,20,13738,3495,967,4100,3
20,0.486,1.16,0.73,24,13952,687,766,2819,2
29,0.515,0.99,0.68,15,14216,230,1736,3132,2
24,0.334,1.06,0.69,11,3034,4937,314,1494,2
22,0.638,1.02,0.69,36,19009,341,1538,4280,1
19,0.679,1.11,0.7,12,6519,202,334,1443,1
20,0.551,1.1,0.71,14,6953,646,539,1841,1
24,0.548,0.95,0.64,17,9122,26,1243,2026,1
25,0.512,1.15,0.73,17,9136,338,550,1796,1
28,0.416,0.86,0.6,13,8808,696,1296,1916,3
25,0.392,1.26,0.76,23,14032,164,827,2661,1
26,0.398,1.23,0.76,39,15155,728,1169,3259,2
25,0.562,0.99,0.67,26,17736,578,1285,4032,1
25,0.393,1.12,0.71,23,18029,174,1286,3973,1
29,0.477,1.06,0.69,26,20357,152,1203,4242,2
23,0.416,0.98,0.67,24,12736,443,2210,3386,1
24,0.524,1.14,0.76,32,17813,348,647,4110,1
21,0.381,1.15,0.7,16,5531,4868,474,2310,1
20,0.525,1.08,0.73,25,14471,262,1234,3065,1
22,0.479,1.1,0.68,24,15539,2389,636,3695,3
18,0.486,1.01,0.63,3,5235,64,158,1059,1
24,0.556,0.99,0.7,11,7153,136,268,1313,1
27,0.276,1.1,0.69,24,6605,13070,2144,4790,1
24,0.57,1.16,0.73,26,14840,1145,1491,3514,1
33,0.402,1.04,0.71,14,7174,4145,850,2636,3
22,0.279,1.18,0.73,21,5642,12614,716,3714,1
24,0.607,1.09,0.72,31,12509,536,751,2970,2
25,0.574,0.98,0.65,14,13854,178,1583,3172,2
20,0.548,1.04,0.68,9,5231,123,383,1208,1
27,0.494,1.25,0.77,31,17732,3229,2161,5249,1
28,0.324,1.16,0.74,12,4855,6855,504,2381,1
25,0.29,1.11,0.72,39,6954,15051,839,4693,1
22,0.369,1.01,0.73,13,4534,2054,420,1476,1
22,0.397,1.24,0.79,10,3124,3177,318,1435,1
27,0.419,1.1,0.74,23,12857,633,930,2814,1
26,0.493,1.01,0.66,12,6986,127,557,1605,2
21,0.347,1.31,0.78,21,4118,7544,253,2266,1
21,0.367,1.37,0.8,8,2664,4348,181,1459,1
21,0.532,1,0.68,7,5104,479,300,1144,1
22,0.314,1.15,0.73,31,7579,11496,588,3244,2
25,0.508,1.02,0.72,11,15540,105,735,3304,2
26,0.35,1.25,0.78,48,14483,12758,1566,6978,1
27,0.482,0.97,0.66,8,7264,287,1065,2228,1
27,0.496,0.95,0.65,8,8435,138,594,1881,2
27,0.488,1.11,0.74,24,13533,867,1145,3241,1
